text,cluster
Кристальное чтиво снял Тарантино,-1
Кто режиссер этих фильмов?,-1
Почему именно эти?,-1
Режиссер очень сильный,-1
"Эти фильмы очень интересные, очень интересный сюжет и очень хорошо снято",-1
"Драма,мелодрама",-1
Чем они тебя заинтересовали?,-1
А тебе какой жанр нравится?,11
Не смотрела,-1
При этом не люблю фильмы про любовь,1
"Мне нравятся экшен, событийность в фильмах",15
"Люблю такие фильмы как остров проклятых, криминальное чтиво",15
Почему именно этот жанр?,11
Мне нравятся триллеры,15
Какой жанр фильмов тебе нравится?,11
"Думаю, мы сходим на экскурсию в порт Питера, а потом на вечер с нашими партнерами по бизнесу",0
Как будете проводить свое время?,23
В Санкт Петербург,4
Да,27
В Питер,-1
Тремя,-1
Куда?,-1
Возможно поеду в командировку на следующую неделю,-1
Все неплохо,19
А твоя работа?,-1
Провожу свободное время с пользой,-1
Ушла на выходные,8
Как работа?,26
Все хорошо,19
А у тебя как?,30
Всё в порядке,19
Доброй ночи,-1
Как дела,26
Лиза,-1
Привет,-1
Но и отдыхать нужно,-1
Так что важно держать себя в форме,12
"А, если пропустишь раз или два, потом уже тяжело войти в нужный ритм",-1
"Нужно часто ходить, чтобы это вошло в привычку",16
Я с тобой полностью согласен,-1
И будет горазд легче заставить себя ходить на силовые тренировки,12
Ведь со временем это станет привычкой,16
И ходить через день или через 2,-1
Однако сейчас стараюсь наладить режим тренировок,12
Вместо тренировки часто выбирал сон или прогулки,-1
И становится очень лениво идти,-1
Или работе,-1
Ведь так часто бывает что устал на учебе,-1
Я тоже часто прерываю,16
А ты?,30
"На самом деле, я часто делаю большие перерывы в тренировках и не всегда соблюдаю регулярность. А это очень важно в развитии силовых показателей",12
Как давно ты занимаешься в зале? И сколько раз в неделю?,-1
"Молодец, наверное долгие годы тренировок помогли достигнуть такого результата.",-1
"Я очень люблю тренировать грудь, это моя любимая группа мышц, я вот пожал 100 кг не так давно",7
"Я согласен, также очень важен бицепс, он очень эстетично смотрится",-1
"Кл мне мастер пришел, чуть позже отвечу вам",-1
Отдыхать и высыпаться очень важно для здоровья,-1
"Очень важно тренировать трицепс, ведь именно он задает основной объем рук",-1
"Я планирую потренировать грудные мышцы и трицепс, так как уже тренировал мышщы спины на этой неделе",7
"Было бы хорошо, если бы мы пошли в 11 или позже, так как я планирую сегодня пойти в ночной клуб, постараюсь сильно не кутить, так что чем позже, тем лучше будет пойти в зал",-1
"Выглядит очень красиво, когда у мужчин хорошая, широкая спина",-1
Широчайшие мышцы создают фигуру,6
Спина это очень важная мышца в организме,6
Я бы хотел завтра потренировать мышцы спины и бицепс,7
"Я думаю, мы можем ориентироваться на 10:30 - 11",-1
"Я не знаю во сколько я лягу спать, чтобы выспаться перед тяжелый тренировкой",-1
Пока трудно ответить на данный вопрос,-1
"Из патриотизма возникает не только любовь к родине, но и уважительное отношения к людям страны",3
"Ваня, во сколько ты завтра сможешь пойти со мной в тренажерный зал «Коперник»?",25
"Не могу не согласиться, уроки, которые воспитывают в человеке патриота своей страны хорошо скажутся на школьниках и соотвественно на будущем нашей страны",2
"Такие уроки будут воспитывать в детях любовь к отчизне, ответственность за родину и близких, уважительное отношение к соотечественникам",2
Все думают только о себе. Из-за этого я считаю необходимым ввести уроки патриотического воспитания в российских школах,-1
Это правда. Очень важно серьезно подходить к делу. И мне кажется в этом и проблема современного общества,14
"Да, нехорошо получается, когда приглашают, а билеты не оплачивают",5
"Да, спасибо.
Хотеть бы конечно ещё посмотреть на такие порты как порт Врангеля, и тд. Очень большие порты на дальнем востоке",4
"К сожалению, они не оплатят нам билеты и отель. Хотя вначале обещали",5
"Это интересно, надеюсь впечатления будут незабываемые",20
Потом нас позвали на ужин с партнерами,-1
Проходить она будет в следующую пятницу,8
"Спасибо за вопрос. Нас пригласили на экскурсию в главный порт Санкт-Петербурга, туда приходят все контейнеры и весь товар",4
Слушать гимны в школах,-1
"Круто, а что за экскурсия, расскажи подробнее, во сколько она и где будет проходить?",-1
"Я считаю, что зарождать его должны ещё с детства",-1
"Сначала правда сказали, что все оплатят. Но, когда узнали, ято на четверо, к сожалению, слились",-1
"Меня пригласили в Питер на экскурсию в порт, возможно поеду",0
"Согласен, патриотизм и любовь к родине очень важны",3
"Неплохо, работал сегодня. А у тебя?",22
Патриотизм это очень важно в нынешних реалиях,-1
"Ваня, как день прошел?",22
"Я за русских, Россия вперед",-1
А вы что думаете?,-1
"Я считаю фаворитом французскую команду, но болеть буду за итальянцев",-1
Завтра за кого будете болеть?,-1
Доброе утро,-1
